report_date,region,currency,live_count,shop_count,creator_count,gmv,units_sold,total_viewers,duration_hours,max_concurrent_viewers,followers_added,shares,updated_at
2026-05-31,ALL,mixed,4,3,3,8000.37,185.0,36780.0,21.37,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-05-31,美国,USD,4,3,3,8000.37,185.0,36780.0,21.37,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-01,ALL,mixed,5,4,4,22522.84,286.0,44114.0,24.78,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-01,墨西哥,MXN,1,1,1,0.0,0.0,3746.0,2.88,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-01,美国,USD,4,3,3,22522.84,286.0,40368.0,21.9,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-02,ALL,mixed,7,6,6,16454.69,280.0,64048.0,38.93,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-02,墨西哥,MXN,1,1,1,277.2,1.0,5128.0,5.91,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-02,美国,USD,5,4,4,5677.49,139.0,34220.0,25.07,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-02,马来西亚,MYR,1,1,1,10500.0,140.0,24700.0,7.95,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-03,ALL,mixed,8,7,7,11707.59,388.0,50788.0,37.24,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-03,墨西哥,MXN,1,1,1,0.0,0.0,4353.0,6.04,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-03,美国,USD,6,5,5,5466.44,150.0,35935.0,27.39,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-03,马来西亚,MYR,1,1,1,6241.15,238.0,10500.0,3.81,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-04,ALL,mixed,9,8,8,22933.63,525.0,110686.0,43.51,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-04,墨西哥,MXN,2,2,2,0.0,0.0,51813.0,14.0,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-04,美国,USD,6,5,5,22876.63,524.0,47973.0,27.88,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-04,马来西亚,MYR,1,1,1,57.0,1.0,10900.0,1.63,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-05,ALL,mixed,8,6,6,41692.79,605.0,147028.0,42.86,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-05,墨西哥,MXN,1,1,1,1844.0,3.0,13000.0,5.88,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-05,美国,USD,6,4,4,9348.79,233.0,32928.0,25.03,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-05,马来西亚,MYR,1,1,1,30500.0,369.0,101100.0,11.95,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-06,ALL,mixed,7,6,6,5944.25,99.0,81790.0,39.25,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-06,墨西哥,MXN,1,1,1,1294.0,2.0,14900.0,5.91,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-06,美国,USD,5,4,4,4650.25,97.0,66737.0,33.05,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-06,菲律宾,PHP,1,1,1,0.0,0.0,153.0,0.29,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-07,ALL,mixed,6,5,5,1858.31,44.0,29535.0,20.62,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-07,墨西哥,MXN,1,1,1,0.0,0.0,11400.0,5.91,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-07,美国,USD,4,3,3,1858.31,44.0,17591.0,13.95,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
2026-06-07,菲律宾,PHP,1,1,1,0.0,0.0,544.0,0.76,0.0,0.0,0.0,2026-06-08T02:51:54+00:00
